game_id,round_index,player_id,round_begin_ts,player_move,player_rt,player_outcome,player_points,player_total
476614b1-3c2e-4acd-afcc-001b4dcb570a,32,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849144679,rock,830,loss,-1,37
476614b1-3c2e-4acd-afcc-001b4dcb570a,32,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849144679,paper,1179,win,3,9
476614b1-3c2e-4acd-afcc-001b4dcb570a,33,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849148336,paper,628,loss,-1,36
476614b1-3c2e-4acd-afcc-001b4dcb570a,33,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849148336,scissors,2019,win,3,12
476614b1-3c2e-4acd-afcc-001b4dcb570a,34,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849152391,scissors,565,tie,0,35
476614b1-3c2e-4acd-afcc-001b4dcb570a,34,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849152391,scissors,2042,tie,0,15
476614b1-3c2e-4acd-afcc-001b4dcb570a,35,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849155919,rock,1902,tie,0,35
476614b1-3c2e-4acd-afcc-001b4dcb570a,35,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849155919,rock,1276,tie,0,15
476614b1-3c2e-4acd-afcc-001b4dcb570a,36,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849158984,paper,2087,loss,-1,35
476614b1-3c2e-4acd-afcc-001b4dcb570a,36,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849158984,scissors,2138,win,3,15
476614b1-3c2e-4acd-afcc-001b4dcb570a,37,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849162927,paper,807,tie,0,34
476614b1-3c2e-4acd-afcc-001b4dcb570a,37,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849162927,paper,2091,tie,0,18
476614b1-3c2e-4acd-afcc-001b4dcb570a,38,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849166430,rock,879,win,3,34
476614b1-3c2e-4acd-afcc-001b4dcb570a,38,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849166430,scissors,1180,loss,-1,18
476614b1-3c2e-4acd-afcc-001b4dcb570a,39,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849169006,paper,1254,win,3,37
476614b1-3c2e-4acd-afcc-001b4dcb570a,39,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849169006,rock,1373,loss,-1,17
476614b1-3c2e-4acd-afcc-001b4dcb570a,40,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849172807,rock,630,loss,-1,40
476614b1-3c2e-4acd-afcc-001b4dcb570a,40,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849172807,paper,1194,win,3,16
476614b1-3c2e-4acd-afcc-001b4dcb570a,41,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849175375,scissors,1265,tie,0,39
476614b1-3c2e-4acd-afcc-001b4dcb570a,41,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849175375,scissors,1452,tie,0,19
476614b1-3c2e-4acd-afcc-001b4dcb570a,42,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849178287,paper,1319,loss,-1,39
