trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l1,18,60,TIMEUP,377.67721889059175,253.7925347012105,46,60.049999999998725
contain_sc1_var_l1_complex_l1,19,60,REDGOAL,352.4033429160447,140.69121912438507,8,11.750000000000032
contain_sc1_var_l1_complex_l1,20,60,REDGOAL,330.71159681844443,144.726260411389,20,23.850000000000204
contain_sc1_var_l1_complex_l1,21,60,REDGOAL,276.42134712162857,143.63313084073707,24,29.85000000000029
contain_sc1_var_l1_complex_l1,22,60,REDGOAL,240.12823071834504,139.52046380262516,5,6.799999999999984
contain_sc1_var_l1_complex_l1,23,60,REDGOAL,308.11776575693546,143.77139919471284,14,20.00000000000015
contain_sc1_var_l1_complex_l1,24,60,REDGOAL,288.809272791154,146.99245581605467,3,4.99999999999999
contain_sc1_var_l1_complex_l1,25,60,REDGOAL,270.6824292598693,141.16575076261253,40,56.79999999999891
contain_sc1_var_l1_complex_l1,26,60,REDGOAL,321.0536690991685,148.03377321387052,7,12.750000000000046
contain_sc1_var_l1_complex_l1,27,60,REDGOAL,305.3010220520828,145.98769939980423,9,11.800000000000033
contain_sc1_var_l1_complex_l1,28,60,REDGOAL,307.2007323911638,145.40829667600394,2,3.4999999999999956
contain_sc1_var_l1_complex_l1,29,60,REDGOAL,276.159924785311,145.11032964178273,2,3.649999999999995
contain_sc1_var_l1_complex_l1,30,60,REDGOAL,273.04708112430706,144.11004958221025,32,35.450000000000124
contain_sc1_var_l1_complex_l1,31,60,REDGOAL,297.41491178692115,139.66858773520883,4,6.099999999999986
contain_sc1_var_l1_complex_l1,32,60,REDGOAL,327.4873107070583,147.7496306129935,2,3.399999999999996
contain_sc1_var_l1_complex_l1,33,60,REDGOAL,242.94499737095097,142.26308004523983,15,19.30000000000014
contain_sc1_var_l1_complex_l1,34,60,REDGOAL,256.7592702062995,147.96757378453552,17,20.05000000000015
contain_sc1_var_l1_complex_l1,35,60,REDGOAL,359.1969936234189,141.9033234564348,21,27.70000000000026
contain_sc1_var_l1_complex_l1,36,60,REDGOAL,264.23998764628834,143.7932198909708,2,3.599999999999995
contain_sc1_var_l1_complex_l1,37,60,REDGOAL,346.5000500876768,144.40151339972113,26,35.600000000000115
contain_sc1_var_l1_complex_l1,38,60,REDGOAL,298.6857975780183,141.4923232755657,2,3.4999999999999956
contain_sc1_var_l1_complex_l1,39,60,TIMEUP,310.832351797737,378.7575962979862,43,60.049999999998725
contain_sc1_var_l1_complex_l1,40,60,REDGOAL,303.26511443337733,141.27471126077836,5,6.849999999999984
contain_sc1_var_l1_complex_l1,41,60,REDGOAL,264.39339423148357,148.9354922425867,7,9.349999999999998
contain_sc1_var_l1_complex_l1,42,60,REDGOAL,322.7037771712011,145.6978830462478,13,16.750000000000103
contain_sc1_var_l1_complex_l1,43,60,REDGOAL,334.5980813884001,140.36107553631007,13,16.850000000000104
contain_sc1_var_l1_complex_l1,44,60,REDGOAL,358.9707792142748,138.13984635941168,12,15.600000000000087
contain_sc1_var_l1_complex_l1,45,60,REDGOAL,257.47191139209195,140.3931096275878,7,9.55
contain_sc1_var_l1_complex_l1,46,60,REDGOAL,326.0780423776117,148.3289294314746,2,3.399999999999996
contain_sc1_var_l1_complex_l1,47,60,REDGOAL,300.3967441608001,145.0939720398373,13,20.900000000000162
contain_sc1_var_l1_complex_l1,48,60,REDGOAL,286.882274597926,144.10052819839834,18,22.20000000000018
contain_sc1_var_l1_complex_l1,49,60,REDGOAL,314.6612632228852,142.60503743773356,2,3.399999999999996
contain_sc1_var_l1_complex_l1,50,60,REDGOAL,303.2966442776194,148.98518495843734,8,14.300000000000068
contain_sc1_var_l1_complex_l1,51,60,REDGOAL,341.76021986955584,149.08528230519732,18,27.15000000000025
contain_sc1_var_l1_complex_l1,52,60,REDGOAL,325.3697461602063,147.38887795704477,12,16.050000000000093
contain_sc1_var_l1_complex_l1,53,60,REDGOAL,258.42379246435564,142.44034045311702,11,13.950000000000063
contain_sc1_var_l1_complex_l1,54,60,REDGOAL,352.00613921109107,142.27150836153066,8,9.600000000000001
contain_sc1_var_l1_complex_l1,55,60,REDGOAL,349.8051926678562,147.9083930298348,13,16.800000000000104
contain_sc1_var_l1_complex_l1,56,60,REDGOAL,297.4980773556535,141.28029879803887,2,3.399999999999996
contain_sc1_var_l1_complex_l1,57,60,REDGOAL,353.25735216412625,139.2226256194774,14,19.30000000000014
contain_sc1_var_l1_complex_l1,58,60,REDGOAL,273.64911166034403,141.98627455659184,2,3.5499999999999954
contain_sc1_var_l1_complex_l1,59,60,REDGOAL,280.2307354139293,141.78371971808605,16,19.900000000000148
contain_sc1_var_l1_complex_l1,60,60,REDGOAL,265.7231736825571,149.84774195893695,8,10.25000000000001
contain_sc1_var_l1_complex_l1,61,60,REDGOAL,278.4501241328037,149.978975790312,2,3.599999999999995
contain_sc1_var_l1_complex_l1,62,60,REDGOAL,254.88282100809045,147.59084822832494,5,6.8999999999999835
contain_sc1_var_l1_complex_l1,63,60,REDGOAL,299.3398075816046,143.60070539312989,19,28.650000000000272
contain_sc1_var_l1_complex_l1,64,60,TIMEUP,401.92925070180456,373.0910533479914,48,60.049999999998725
contain_sc1_var_l1_complex_l1,65,60,REDGOAL,239.7262261725301,141.48968294454724,4,4.849999999999991
